      0/99     2.19G    0.1273     0.287   0.03928    0.4536       491       640   0.01249   0.04076   0.00149 0.0002916    0.1195    0.2509   0.03379
      1/99     3.15G    0.1198    0.2985   0.03121    0.4495       727       640   0.03375   0.07577   0.01044  0.001663    0.1128    0.2617   0.02616
      2/99     3.15G    0.1121     0.275   0.02418    0.4112       537       640   0.05955    0.2974   0.03845  0.006272    0.1012    0.2613    0.0185
      3/99     3.15G    0.1003    0.2732   0.01705    0.3905       887       640    0.4648    0.1679    0.1084   0.02116   0.08542     0.249   0.01285
      4/99     3.15G   0.08621    0.2696   0.01165    0.3675       398       640    0.8484    0.2073    0.1886   0.05317   0.07241    0.2436   0.00935
      5/99     3.15G   0.07696    0.2924   0.00847    0.3779       619       640    0.8752     0.244    0.2352   0.08963   0.06231    0.2316  0.007511
      6/99     3.15G   0.07123    0.2867  0.006457    0.3644       439       640    0.8906    0.2654    0.2573    0.1019   0.05929     0.222  0.006455
      7/99     3.15G   0.06544    0.2844  0.005114     0.355       860       640     0.913     0.277    0.2785    0.1205   0.05934    0.2177  0.005903
      8/99     3.15G   0.07186    0.2892  0.004847    0.3659       649       640    0.9029    0.2771    0.2747    0.1204   0.06235    0.2163   0.00567
      9/99     3.15G   0.07049    0.2887  0.004541    0.3637       690       640    0.8746    0.2676    0.2544   0.09006    0.0546    0.2307   0.00556
     10/99     3.15G   0.06625    0.2941  0.003989    0.3644       672       640     0.958    0.2826    0.3287    0.1733   0.04972    0.2208  0.005348
     11/99     3.15G   0.06907    0.3007  0.004066    0.3738       876       640    0.9288    0.2537    0.2798    0.1294   0.05873    0.2184  0.005326
     12/99     3.15G   0.06697    0.2872  0.004018    0.3582       681       640    0.9703    0.3044    0.3275    0.1736   0.04865    0.2115  0.005304
     13/99     3.15G   0.06407    0.2814  0.003928    0.3494       711       640    0.8607    0.2907    0.2218   0.09033   0.05774    0.2219  0.005307
     14/99     3.15G   0.06261    0.2656  0.003903    0.3321       659       640    0.9697    0.3042    0.3435    0.1993    0.0454    0.2052  0.005262
     15/99     3.15G   0.06282    0.2808    0.0037    0.3474       984       640    0.9248    0.2704    0.2952    0.1623   0.05658    0.2053  0.005184
     16/99     3.15G   0.06059    0.2637  0.003721     0.328       753       640    0.9561    0.3113    0.3274    0.1992   0.04348     0.201  0.005218
     17/99     3.15G   0.05968    0.2683  0.003768    0.3318       647       640    0.9241    0.2829    0.2922    0.1675   0.05314    0.2016  0.005137
     18/99     3.15G   0.05866    0.2547  0.003716     0.317       580       640    0.9889    0.3188    0.3374    0.2117   0.04187    0.1958  0.005133
     19/99     3.15G   0.05656    0.2784  0.003707    0.3386       931       640    0.9808    0.3014    0.3306    0.1947   0.04514    0.2022  0.005163
     20/99     3.15G   0.05496    0.2569   0.00384    0.3157       449       640    0.9924    0.3256    0.3363    0.2073   0.04097    0.1975  0.005148
     21/99     3.15G   0.05492    0.2726  0.003598    0.3311       953       640    0.9771    0.3067    0.3279    0.2122   0.04624    0.1978   0.00506
     22/99     3.15G   0.05576    0.2797  0.003519     0.339       996       640    0.9922    0.3249    0.3466    0.2161   0.03923    0.1922  0.005026
     23/99     3.15G   0.05343    0.2445  0.003351    0.3013       703       640    0.9626    0.2911    0.3337    0.2033   0.04306    0.1947  0.005052
     24/99     3.15G   0.06134    0.3377  0.003817    0.4029       765       640    0.9127    0.2673    0.2796   0.08886   0.06276     0.223  0.004991
     25/99     3.15G   0.06302     0.301  0.003792    0.3678       607       640    0.8738    0.2893     0.269    0.1477   0.05542    0.2367  0.005028
     26/99     3.15G   0.05931    0.2599  0.003853     0.323       679       640      0.99    0.3139     0.336    0.1973   0.04944    0.2048   0.00512
     27/99     3.15G   0.05716    0.2803  0.003975    0.3414       908       640    0.9866    0.3019    0.3469    0.1998   0.04525    0.1958  0.005187
     28/99     3.15G   0.05898    0.2761  0.003753    0.3389      1021       640    0.2414    0.4236    0.3819    0.1673    0.0493    0.2025  0.005205
     29/99     3.15G   0.05539    0.2607  0.003786    0.3199       580       640    0.2875    0.4064    0.3664    0.1993   0.04602    0.1983  0.005148
     30/99     3.15G   0.05457    0.2634  0.003733    0.3217       779       640    0.9894    0.3178    0.3399     0.218   0.04123    0.1968  0.005123
     31/99     3.15G   0.05087    0.2526  0.003806    0.3073       783       640      0.96    0.3035    0.3438    0.2005   0.04477    0.2002  0.005074
     32/99     3.15G   0.05124    0.2569  0.003627    0.3118       674       640    0.2762    0.4623    0.3769    0.2358   0.04351       0.2  0.005088
     33/99     3.15G   0.04925    0.2529  0.003506    0.3056       500       640    0.3327    0.4426    0.4182    0.2731   0.04023    0.1878  0.004993
     34/99     3.15G   0.05031    0.2573  0.003425     0.311       721       640    0.7361    0.4505     0.449    0.2905    0.0393    0.1914  0.005017
     35/99     3.15G   0.04862    0.2515  0.003351    0.3034       779       640     0.667    0.4654     0.435    0.2626   0.04281    0.1925  0.004922
     36/99     3.15G   0.04895    0.2332  0.003378    0.2855       704       640    0.7472    0.4596    0.4718    0.3151   0.03746    0.1806  0.004956
     37/99     3.15G   0.04836    0.2455  0.003388    0.2973       676       640    0.7657    0.5595    0.5721    0.3672   0.03768    0.1885  0.004973
     38/99     3.15G   0.04833    0.2542   0.00331    0.3058       578       640    0.7872    0.4769    0.5293    0.2967   0.04243    0.1879  0.004918
     39/99     3.15G   0.05149    0.2495    0.0033    0.3043       828       640    0.6798    0.5111    0.5038    0.2755   0.05281    0.2176  0.004878
     40/99     3.15G   0.05399    0.2722  0.003598    0.3298       711       640    0.7593    0.5096    0.5495    0.3093   0.04495    0.1992  0.004991
     41/99     3.15G   0.05247    0.2581  0.003547    0.3141       728       640    0.8013    0.5027    0.5511    0.3461   0.03934    0.1965  0.004894
     42/99     3.15G   0.04883    0.2572  0.003321    0.3093       343       640    0.7844    0.5105    0.5656     0.362   0.03899    0.1942  0.004873
     43/99     3.15G   0.04813    0.2474  0.003047    0.2985       690       640    0.8006    0.5159     0.563    0.3391   0.04259    0.1882  0.004661
     44/99     3.15G    0.0517    0.2378  0.003225    0.2927       457       640    0.7981    0.6226    0.6048    0.4026   0.03679    0.1835  0.004733
     45/99     3.15G   0.04911    0.2469  0.003058    0.2991       698       640     0.786    0.6396    0.6112     0.401   0.03822    0.1829  0.004666
     46/99     3.15G   0.04782    0.2358  0.003011    0.2866       743       640    0.8104    0.6398     0.606    0.3752   0.03741    0.1806  0.004607
     47/99     3.15G   0.04537    0.2264   0.00282    0.2746       400       640    0.8337    0.6304     0.615    0.3711   0.04034    0.1828  0.004524
     48/99     3.15G   0.04864    0.2426  0.002985    0.2942       552       640    0.8841    0.6393    0.6373    0.4336   0.03577    0.1757   0.00455
     49/99     3.15G    0.0473     0.249  0.002994    0.2993       646       640     0.867    0.6305    0.6347    0.3995   0.03723    0.1873  0.004503
     50/99     3.15G   0.04147    0.2353  0.002855    0.2796       508       640    0.8884    0.6302    0.6345    0.4333   0.03595    0.1838  0.004403
     51/99     3.15G   0.04216    0.2327  0.002576    0.2774       609       640    0.8706    0.6296    0.6344    0.4465   0.03539    0.1804   0.00423
     52/99     3.15G   0.04299    0.2465  0.002614    0.2921       821       640    0.9547     0.569    0.6376    0.4549   0.03438    0.1806  0.004201
     53/99     3.15G   0.04109    0.2194  0.002589    0.2631       595       640    0.9574    0.5868    0.6391    0.4715    0.0361     0.176  0.004101
     54/99     3.15G   0.04303     0.223  0.002617    0.2687       782       640    0.9556    0.6219    0.6423     0.457     0.034    0.1717  0.004194
     55/99     3.15G   0.03978    0.2147  0.002492    0.2569       329       640    0.9273    0.6049    0.6427     0.469   0.03256    0.1682  0.004191
     56/99     3.15G   0.04109     0.229  0.002565    0.2727       566       640    0.9082    0.6465    0.6499    0.4813   0.03187    0.1651  0.004089
     57/99     3.15G    0.0389    0.2069  0.002275    0.2481       627       640    0.9264    0.6122    0.6478     0.495   0.03262    0.1637  0.004051
     58/99     3.15G   0.03915    0.2157  0.002373    0.2572       588       640    0.9374    0.6302    0.6458    0.4782   0.03347    0.1678  0.004027
     59/99     3.15G   0.03895    0.2024  0.002176    0.2436       656       640    0.9621    0.5705    0.6425     0.476   0.03255    0.1651  0.004002
     60/99     3.15G   0.04067    0.2181  0.002409    0.2612       655       640    0.9426    0.6304    0.6476     0.499   0.03051    0.1593  0.003982
     61/99     3.15G   0.03916    0.2193  0.002281    0.2607       883       640    0.9471    0.5963    0.6487    0.5068   0.03084    0.1606  0.004004
     62/99     3.15G   0.03887    0.2108  0.002373     0.252       407       640    0.9575    0.5877    0.6468    0.5057    0.0304    0.1598  0.003999
     63/99     3.15G   0.03742    0.2022  0.002269    0.2419       646       640    0.9639    0.5965    0.6488    0.4998   0.03039    0.1584  0.004003
     64/99     3.15G   0.03682    0.2112  0.002111    0.2501       668       640    0.8872    0.6483    0.6512    0.5154   0.02942    0.1555  0.003954
     65/99     3.15G   0.03526    0.1967  0.002196    0.2341      1216       640    0.9902    0.5532    0.6522    0.5117   0.03165    0.1589  0.003925
     66/99     3.15G   0.03692    0.2059  0.002294    0.2451       787       640    0.9331    0.6222    0.6516    0.5196   0.03009    0.1569  0.003814
